jp-ja,en-us
«F800»Ѩ16«FA0C»グランド・マスター・ブレイカー,«FB06»«F800»Ѩ16 Grand Master Breaker
«F800»Ѩ15«FA0C»グランド・パラディン,«FB06»«F800»Ѩ15 Grand Paladin
«F800»Ѩ14«FA0C»レディアント・ナイト,«FB06»«F800»Ѩ14 Radiant Knight
«F800»Ѩ13«FA0C»レイジング・ベルゼルカー,«FB06»«F800»Ѩ13 Raging Berserker
«F800»Ѩ12«FA0C»ドラゴン・スレイヤー,«FB06»«F800»Ѩ12 Dragon Slayer
«F800»Ѩ11«FA0C»クレイジャス・アドベンチャラー,«FB06»«F800»Ѩ11 Courageous Adventurer
«F800»Ѩ10«FA0C»マスター・グラディエーター,«FB06»«F800»Ѩ10 Master Gladiator
«F800»Ѩ9«FA0C»ブレイド・マスター,«FB06»«F800»Ѩ8 Blade Master
«F800»Ѩ8«FA0C»ミスティック・ワンダラー,«FB06»«F800»Ѩ9 Mystic Wanderer
«F800»Ѩ7«FA0C»パラディン,«FB06»«F800»Ѩ7 Paladin
«F800»Ѩ6«FA0C»スペクトルベイン,«FB06»«F800»Ѩ6 Spectrebane
«F800»Ѩ5«FA0C»デストロイヤー,«FB06»«F800»Ѩ5 Destroyer
«F800»Ѩ4«FA0C»ベルゼルカー,«FB06»«F800»Ѩ4 Berserker
«F800»Ѩ3«FA0C»デアデビル,«FB06»«F800»Ѩ3 Daredevil
«F800»Ѩ2«FA0C»グラディエーター,«FB06»«F800»Ѩ2 Gladiator
«F800»Ѩ1«FA0C»ノーマル・エージェント,«FB06»«F800»Ѩ1 Normal Agent
«FA0C»真実を知る«EE»«EE»,Time Attack Battle 1↵Mission: Vanquish the Minotaur!
«FA0C»魔都の支配«EE»«EE»,Time Attack Battle 2↵Mission: Vanquish the Dragon!
«FA0C»遺宝の継承«EE»«EE»,Time Attack Battle 3↵Mission: Vanquish the Earth Dragon!
«FA0C»關の探求«EE»«EE»,Time Attack Battle 4↵Mission: Vanquish the Snow Dragon!
«FA0C»岩割りの破壊«EF»喋,Time Attack Battle 5↵Mission: Vanquish the Damascus Golem!
«FA0C»雪原の狩«ED»1,Time Attack Battle 6↵Mission: Vanquish the Damascus Crab!
«FA0C»森林の加盟«EE»«EE»,Time Attack Battle 7↵Mission: Vanquish Death & the Ogre Zombie!
«FA0C»竜殺しの戦«ED»N,Time Attack Battle 9↵Mission: Vanquish Asura!
