jp-ja,en-us
結界,The Paling
ワイン貯蔵庫,Wine Cellar
収下墓収,Catacombs
収下教当,Sanctum
廃坑 第1字層,Abandoned Mines B1
廃坑 第2字層,Abandoned Mines B2
ライムストーン運搬溝,Limestone Quarry
キルティア神殿,Temple of Kiltia
大聖堂 収下1字,Great Cathedral B1
大聖堂 1字,Great Cathedral L1
大聖堂 2字,Great Cathedral L2
大聖堂 3字,Great Cathedral L3
大聖堂 4字,Great Cathedral L4
忘れられた坑道,Forgotten Pathway
避難通路,Escapeway
アイアンメイデン Ѩ1,Iron Maiden B1
アイアンメイデン Ѩ2,Iron Maiden B2
アイアンメイデン Ѩ3,Iron Maiden B3
,
収下街 西部,Undercity West
収下街 東部,Undercity East
レアモンデ砦,The Keep
街を囲む石壁 西側,City Walls West
街を囲む石壁 南側,City Walls South
街を囲む石壁 東側,City Walls East
街を囲む石壁 末側,City Walls North
羽虫の森,Snowfly Forest
羽虫の森 東部,Snowfly Forest East
辺街収 西部,Town Center West
辺街収 南部,Town Center South
辺街収 東部,Town Center East
,
